0	d	0.153411
0	o	0.088148
0	i	0.011325
0	r	0.074593
0	a	0.096568
0	h	0.130159
0	t	0.131382
0	n	0.012166
0	s	0.073045
0	e	0.229204
1	d	0.096485
1	o	0.006723
1	i	0.230524
1	r	0.082828
1	a	0.055986
1	h	0.003760
1	t	0.265633
1	n	0.070771
1	s	0.031128
1	e	0.156162
2	d	0.199828
2	o	0.038723
2	i	0.015480
2	r	0.014704
2	a	0.202446
2	h	0.084658
2	t	0.023568
2	n	0.140544
2	s	0.187118
2	e	0.092932
3	d	0.033015
3	o	0.300183
3	i	0.048359
3	r	0.093483
3	a	0.006384
3	h	0.247200
3	t	0.025373
3	n	0.060901
3	s	0.175782
3	e	0.009320
4	d	0.149877
4	o	0.083517
4	i	0.242278
4	r	0.050754
4	a	0.094741
4	h	0.027399
4	t	0.231695
4	n	0.081219
4	s	0.037601
4	e	0.000921
5	d	0.117320
5	o	0.008171
5	i	0.024725
5	r	0.112114
5	a	0.237985
5	h	0.044907
5	t	0.064832
5	n	0.278516
5	s	0.039267
5	e	0.072162
6	d	0.194112
6	o	0.170082
6	i	0.085039
6	r	0.059989
6	a	0.147967
6	h	0.113451
6	t	0.000626
6	n	0.086063
6	s	0.137358
6	e	0.005313
7	d	0.000963
7	o	0.125186
7	i	0.048281
7	r	0.156747
7	a	0.069741
7	h	0.213334
7	t	0.035416
7	n	0.022342
7	s	0.159911
7	e	0.168079
8	d	0.017797
8	o	0.123207
8	i	0.030008
8	r	0.253245
8	a	0.044553
8	h	0.246823
8	t	0.120383
8	n	0.017407
8	s	0.028720
8	e	0.117857
9	d	0.169722
9	o	0.018708
9	i	0.116838
9	r	0.024639
9	a	0.143991
9	h	0.093859
9	t	0.050381
9	n	0.041840
9	s	0.177061
9	e	0.162961
10	d	0.143920
10	o	0.026878
10	i	0.013691
10	r	0.017037
10	a	0.067839
10	h	0.132927
10	t	0.169309
10	n	0.119599
10	s	0.115565
10	e	0.193236
11	d	0.087674
11	o	0.098212
11	i	0.183430
11	r	0.031641
11	a	0.054590
11	h	0.053016
11	t	0.161662
11	n	0.024850
11	s	0.093883
11	e	0.211042
12	d	0.134295
12	o	0.099106
12	i	0.070019
12	r	0.036259
12	a	0.197739
12	h	0.101633
12	t	0.031992
12	n	0.167453
12	s	0.155144
12	e	0.006361
13	d	0.059100
13	o	0.159437
13	i	0.034139
13	r	0.093615
13	a	0.037426
13	h	0.177189
13	t	0.067332
13	n	0.057119
13	s	0.203790
13	e	0.110854
14	d	0.220591
14	o	0.015853
14	i	0.274086
14	r	0.029312
14	a	0.044358
14	h	0.110773
14	t	0.248528
14	n	0.049106
14	s	0.001937
14	e	0.005455
15	d	0.016250
15	o	0.080727
15	i	0.006881
15	r	0.073408
15	a	0.207744
15	h	0.088702
15	t	0.083706
15	n	0.221179
15	s	0.106745
15	e	0.114660
16	d	0.159294
16	o	0.130687
16	i	0.059404
16	r	0.078451
16	a	0.153870
16	h	0.115140
16	t	0.050729
16	n	0.069023
16	s	0.147222
16	e	0.036180
17	d	0.077403
17	o	0.170033
17	i	0.041234
17	r	0.111965
17	a	0.060736
17	h	0.128523
17	t	0.016662
17	n	0.068361
17	s	0.166222
17	e	0.158862
18	d	0.034310
18	o	0.063164
18	i	0.091213
18	r	0.233194
18	a	0.073655
18	h	0.192103
18	t	0.071230
18	n	0.123629
18	s	0.102198
18	e	0.015305
19	d	0.137312
19	o	0.034070
19	i	0.130437
19	r	0.053039
19	a	0.206646
19	h	0.021697
19	t	0.056599
19	n	0.076362
19	s	0.121413
19	e	0.162426
20	d	0.159217
20	o	0.058534
20	i	0.022024
20	r	0.013488
20	a	0.077119
20	h	0.170217
20	t	0.172777
20	n	0.100312
20	s	0.059374
20	e	0.166937
21	d	0.077369
21	o	0.085962
21	i	0.183795
21	r	0.018003
21	a	0.011454
21	h	0.016687
21	t	0.251894
21	n	0.079088
21	s	0.044129
21	e	0.231619
22	d	0.160216
22	o	0.080861
22	i	0.047989
22	r	0.071096
22	a	0.236516
22	h	0.065343
22	t	0.059602
22	n	0.124455
22	s	0.147689
22	e	0.006234
23	d	0.014360
23	o	0.185424
23	i	0.114617
23	r	0.011455
23	a	0.023996
23	h	0.202067
23	t	0.058942
23	n	0.112796
23	s	0.241395
23	e	0.034948
24	d	0.136626
24	o	0.108633
24	i	0.183740
24	r	0.096590
24	a	0.089064
24	h	0.007914
24	t	0.135089
24	n	0.110112
24	s	0.112283
24	e	0.019948
25	d	0.003617
25	o	0.010762
25	i	0.106070
25	r	0.060477
25	a	0.208633
25	h	0.097251
25	t	0.123656
25	n	0.226898
25	s	0.081062
25	e	0.081574
26	d	0.157319
26	o	0.133825
26	i	0.067440
26	r	0.017274
26	a	0.125769
26	h	0.152665
26	t	0.051709
26	n	0.049146
26	s	0.174505
26	e	0.070347
27	d	0.032682
27	o	0.147546
27	i	0.056764
27	r	0.142946
27	a	0.072560
27	h	0.168718
27	t	0.068246
27	n	0.035486
